sl,sw,pl,pw,species,sepal_area,petal_area
5.1,3.5,1.4,0.2,0,17.849999999999998,0.27999999999999997
4.9,3.0,1.4,0.2,0,14.700000000000001,0.27999999999999997
4.7,3.2,1.3,0.2,0,15.040000000000001,0.26
4.6,3.1,1.5,0.2,0,14.26,0.30000000000000004
5.0,3.6,1.4,0.2,0,18.0,0.27999999999999997
5.4,3.9,1.7,0.4,0,21.060000000000002,0.68
4.6,3.4,1.4,0.3,0,15.639999999999999,0.42
5.0,3.4,1.5,0.2,0,17.0,0.30000000000000004
4.4,2.9,1.4,0.2,0,12.76,0.27999999999999997
4.9,3.1,1.5,0.1,0,15.190000000000001,0.15000000000000002
5.4,3.7,1.5,0.2,0,19.980000000000004,0.30000000000000004
4.8,3.4,1.6,0.2,0,16.32,0.32000000000000006
4.8,3.0,1.4,0.1,0,14.399999999999999,0.13999999999999999
4.3,3.0,1.1,0.1,0,12.899999999999999,0.11000000000000001
5.8,4.0,1.2,0.2,0,23.2,0.24
5.7,4.4,1.5,0.4,0,25.080000000000002,0.6000000000000001
5.4,3.9,1.3,0.4,0,21.060000000000002,0.52
5.1,3.5,1.4,0.3,0,17.849999999999998,0.42
5.7,3.8,1.7,0.3,0,21.66,0.51
5.1,3.8,1.5,0.3,0,19.38,0.44999999999999996
5.4,3.4,1.7,0.2,0,18.36,0.34
5.1,3.7,1.5,0.4,0,18.87,0.6000000000000001
4.6,3.6,1.0,0.2,0,16.56,0.2
5.1,3.3,1.7,0.5,0,16.83,0.85
4.8,3.4,1.9,0.2,0,16.32,0.38
5.0,3.0,1.6,0.2,0,15.0,0.32000000000000006
5.0,3.4,1.6,0.4,0,17.0,0.6400000000000001
5.2,3.5,1.5,0.2,0,18.2,0.30000000000000004
5.2,3.4,1.4,0.2,0,17.68,0.27999999999999997
4.7,3.2,1.6,0.2,0,15.040000000000001,0.32000000000000006
4.8,3.1,1.6,0.2,0,14.879999999999999,0.32000000000000006
5.4,3.4,1.5,0.4,0,18.36,0.6000000000000001
5.2,4.1,1.5,0.1,0,21.32,0.15000000000000002
5.5,4.2,1.4,0.2,0,23.1,0.27999999999999997
4.9,3.1,1.5,0.2,0,15.190000000000001,0.30000000000000004
5.0,3.2,1.2,0.2,0,16.0,0.24
5.5,3.5,1.3,0.2,0,19.25,0.26
4.9,3.6,1.4,0.1,0,17.64,0.13999999999999999
4.4,3.0,1.3,0.2,0,13.200000000000001,0.26
